"S.No","ID","Part.Number","Date","Available.Quantity","Issue","Return","Order","Repair.Calibrate","Scrap","Unit.Cost"
393,474,"GN-286",2015-12-24,29,0,0,0,0,0,160
394,474,"GN-286",2015-12-23,29,1,0,20,0,0,160
395,474,"GN-286",2015-12-22,10,5,0,0,0,0,160
396,474,"GN-286",2015-12-21,15,0,0,0,0,0,160
397,474,"GN-286",2015-12-20,15,0,0,0,0,0,160
398,474,"GN-286",2015-12-19,15,10,0,0,0,0,160
399,474,"GN-286",2015-12-18,25,0,0,0,0,0,160
400,474,"GN-286",2015-12-17,25,0,0,0,0,0,160
401,474,"GN-286",2015-12-16,25,0,0,0,0,0,160
402,474,"GN-286",2015-12-15,25,0,0,0,0,0,160
403,464,"GN-276",2016-04-26,19,0,0,0,0,0,106
404,464,"GN-276",2016-04-25,19,0,0,0,0,0,106
405,464,"GN-276",2016-04-24,19,0,0,0,0,0,106
406,464,"GN-276",2016-04-23,19,0,0,0,0,0,106
407,464,"GN-276",2016-04-22,19,0,0,0,0,0,106
408,464,"GN-276",2016-04-21,19,0,0,0,0,0,106
409,464,"GN-276",2016-04-20,19,0,0,0,0,0,106
410,464,"GN-276",2016-04-19,19,0,0,0,0,0,106
411,464,"GN-276",2016-04-18,19,0,0,0,0,0,106
412,464,"GN-276",2016-04-17,19,0,0,0,0,0,106
413,464,"GN-276",2016-04-16,19,0,0,0,0,0,106
414,464,"GN-276",2016-04-15,19,2,0,0,0,0,106
415,464,"GN-276",2016-04-14,21,0,0,0,0,0,106
416,464,"GN-276",2016-04-13,21,0,0,0,0,0,106
417,464,"GN-276",2016-04-12,21,1,0,0,0,0,106
418,464,"GN-276",2016-04-11,22,1,4,0,0,0,106
419,464,"GN-276",2016-04-10,19,0,0,0,0,0,106
420,464,"GN-276",2016-04-09,19,0,0,0,0,0,106
421,464,"GN-276",2016-04-08,19,0,0,0,0,0,106
422,464,"GN-276",2016-04-07,19,0,0,0,0,0,106
423,464,"GN-276",2016-04-06,19,0,0,0,0,0,106
424,464,"GN-276",2016-04-05,19,0,0,0,0,0,106
425,464,"GN-276",2016-04-04,19,2,0,0,0,0,106
426,464,"GN-276",2016-04-03,21,0,0,0,0,0,106
427,464,"GN-276",2016-04-02,21,0,0,0,0,0,106
428,464,"GN-276",2016-04-01,21,0,0,0,0,0,106
429,464,"GN-276",2016-03-31,21,1,0,0,0,0,106
430,464,"GN-276",2016-03-30,22,0,0,0,0,0,106
431,464,"GN-276",2016-03-29,22,6,0,0,0,0,106
432,464,"GN-276",2016-03-28,28,2,0,0,0,0,106
433,464,"GN-276",2016-03-27,30,0,0,0,0,0,106
434,464,"GN-276",2016-03-26,30,0,0,0,0,0,106
435,464,"GN-276",2016-03-25,30,0,0,0,0,0,106
436,464,"GN-276",2016-03-24,30,0,0,30,0,0,106
437,464,"GN-276",2016-03-23,0,2,0,0,0,0,106
438,464,"GN-276",2016-03-22,2,5,0,0,0,0,106
